,dist,conm,busdesc
CDNS,0.0,CADENCE DESIGN SYSTEMS INC,"Cadence Design Systems, Inc. provides software, hardware, services, and reusable integrated circuit (IC) design blocks worldwide. The company offers functional verification services, including emulation and prototyping hardware."
GWW,0.0019,GRAINGER (W W) INC,"W.W. Grainger, Inc. distributes maintenance, repair, and operating (MRO) products and services in the United States, Canada, and internationally."
LKQ,0.0028,LKQ CORP,"LKQ Corporation, together with its subsidiaries, distributes replacement parts, components, and systems used in the repair and maintenance of vehicles. It operates in three segments: North America, Europe, and Specialty."
GME,0.003,GAMESTOP CORP,"GameStop Corp. operates as a multichannel video game, consumer electronics, and collectibles retailer in the United States, Canada, Australia, and Europe."
LB,0.0063,L BRANDS INC,"L Brands, Inc. operates as a specialty retailer of women's intimate and other apparel, personal care, and beauty and home fragrance products. The company operates in three segments: Victoria's Secret, Bath & Body Works, and Victoria's Secret and Bath & Body Works International."
TYL,0.0086,TYLER TECHNOLOGIES INC,"Tyler Technologies, Inc. provides integrated information management solutions and services for the public sector in the United States and internationally. The company operates in two segments, Enterprise Software; and Appraisal and Tax."
PRGO,0.0099,PERRIGO CO PLC,Perrigo Company plc provides over-the-counter (OTC) health and wellness solutions that enhance individual well-being by empowering consumers to prevent or treat conditions that can be self-managed.
MNST,0.0105,MONSTER BEVERAGE CORP,"Monster Beverage Corporation, through its subsidiaries, develops, markets, sells, and distributes energy drink beverages and concentrates in the United States and internationally. It operates through three segments: Monster Energy Drinks, Strategic Brands, and Other."
HD,0.0113,HOME DEPOT INC,"The Home Depot, Inc. operates as a home improvement retailer."
FDO,0.0117,FAMILY DOLLAR STORES,"Family Dollar Stores, Inc. operates a chain of general merchandise retail discount stores primarily for low- and middle-income consumers in the United States."
SJM,0.0119,SMUCKER (JM) CO,"The J. M. Smucker Company manufactures and markets food and beverage products worldwide. It operates in four segments: U.S. Retail Pet Foods, U.S. Retail Coffee, U.S. Retail Consumer Foods, and International and Away From Home."
MHS,0.0122,MEDCO HEALTH SOLUTIONS INC,"Medco Health Solutions, Inc. is a healthcare company provides clinically-driven pharmacy services for private and public employers, health plans, labor unions and government agencies, and individuals. Medco Health Solutions, Inc. was formerly known as Merck-Medco Managed Care, L.L.C."
BBBY,0.0124,BED BATH & BEYOND INC,"Bed Bath & Beyond Inc., together with its subsidiaries, operates a chain of retail stores."
BKNG,0.0135,BOOKING HOLDINGS INC,Booking Holdings Inc. provides travel and restaurant online reservation and related services worldwide.
CVG,0.015,CONVERGYS CORP,"Convergys Corporation provides customer management services to communications and media, technology, financial services, retail, healthcare, government, travel and hospitality, and other vertical markets worldwide."
FOSL,0.0188,FOSSIL GROUP INC,"Fossil Group, Inc., together with its subsidiaries, designs, develops, markets, and distributes consumer fashion accessories in the United States, Europe, Asia, and internationally."
AAPL,0.0205,APPLE INC,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services."
NOVL,0.0213,NOVELL INC,"Novell, Inc. provides Net services software solutions that deliver services to secure various networks that include the Internet, intranets, extranets, wired to wireless networks, and corporate and public networks."
NFLX,0.027,NETFLIX INC,"Netflix, Inc. provides subscription streaming entertainment service. It offers TV series, documentaries, and feature films across various genres and languages."
VRSN,0.0301,VERISIGN INC,"VeriSign, Inc., together with its subsidiaries, provides domain name registry services and Internet infrastructure that enables Internet navigation for various recognized domain names worldwide."
