,dist,conm,busdesc
OXY,0.0,OCCIDENTAL PETROLEUM CORP,"Occidental Petroleum Corporation, together with its subsidiaries, engages in the acquisition, exploration, and development of oil and gas properties in the United States, the Middle East, and Latin America."
COP,0.3403,CONOCOPHILLIPS,"ConocoPhillips explores for, produces, transports, and markets crude oil, bitumen, natural gas, liquefied natural gas (LNG), and natural gas liquids worldwide."
HES,0.3818,HESS CORP,"Hess Corporation, an exploration and production company, explores, develops, produces, purchases, transports, and sells crude oil, natural gas liquids (NGLs), and natural gas. It operates through two segments, Exploration and Production, and Midstream."
CVX,0.3955,CHEVRON CORP,"Chevron Corporation, through its subsidiaries, engages in integrated energy, chemicals, and petroleum operations worldwide. The company operates in two segments, Upstream and Downstream."
XOM,0.3975,EXXON MOBIL CORP,"Exxon Mobil Corporation explores for and produces crude oil and natural gas in the United States, Canada/other Americas, Europe, Africa, Asia, and Australia/Oceania. It operates through Upstream, Downstream, and Chemical segments."
MUR,0.4255,MURPHY OIL CORP,"Murphy Oil Corporation operates as an oil and natural gas exploration and production company in the United States, Canada, and internationally. It explores for and produces crude oil, natural gas, and natural gas liquids."
MRO,0.4405,MARATHON OIL CORP,Marathon Oil Corporation operates as an independent exploration and production company in the United States and Equatorial Guinea.
SLB,0.4556,SCHLUMBERGER LTD,"Schlumberger Limited supplies technology for reservoir characterization, drilling, production, and processing to the oil and gas industry worldwide. It operates in four divisions: Digital & Integration, Reservoir Performance, Well Construction, and Production Systems."
NOV,0.4707,NATIONAL OILWELL VARCO INC,"National Oilwell Varco, Inc. designs, constructs, manufactures, and sells systems, components, and products for oil and gas drilling and production worldwide. It operates through three segments: Wellbore Technologies, Completion & Production Solutions, and Rig Technologies."
CAM,0.4908,CAMERON INTERNATIONAL CORP,"Cameron International Corporation provides flow equipment products, systems, and services worldwide."
RDC,0.5155,ROWAN COMPANIES LTD,"Rowan Companies Limited provides offshore contract drilling services to the oil and gas industry. It operates through three segments: Deepwater, Jack-ups, and ARO. The Deepwater segment operates 4 ultra-deepwater drillships. The Jack-ups segment operates 15 self-elevating jack-up rigs."
HAL,0.5446,HALLIBURTON CO,Halliburton Company provides a range of services and products to oil and natural gas companies worldwide.
BHI,0.5522,BAKER HUGHES INC,"Baker Hughes Holdings LLC operates as an energy technology company. The company operates through four segments: Oilfield Services, Oilfield Equipment, Turbomachinery & Process Solutions, and Digital Solutions."
RIG,0.5829,TRANSOCEAN LTD,"Transocean Ltd., together with its subsidiaries, provides offshore contract drilling services for oil and gas wells worldwide. The company primarily offers drilling rigs, related equipment, and work crews; and ultra-deepwater and harsh environment drilling services."
NEM,0.6062,NEWMONT CORP,"Newmont Corporation engages in the production and exploration of gold, copper, silver, zinc, and lead. The company has operations and/or assets in the United States, Canada, Mexico, Dominican Republic, Peru, Suriname, Argentina, Chile, Australia, and Ghana."
VLO,0.6415,VALERO ENERGY CORP,"Valero Energy Corporation manufactures and sells transportation fuels and petrochemical products in the United States, Canada, the United Kingdom, Ireland, and internationally. It operates through three segments: Refining, Ethanol, and Renewable Diesel."
ANDV,0.7474,ANDEAVOR,"Andeavor, through its subsidiaries, operates as an independent petroleum refining, logistics, and marketing company in the United States. The company operates in three segments: Marketing, Logistics, and Refining."
CE,0.8242,CELANESE CORP,"Celanese Corporation, a technology and specialty materials company, manufactures and sells high performance engineered polymers in the United States and internationally. The company operates through Engineered Materials, Acetate Tow, and Acetyl Chain segments."
